id,location,total_jobs,other_job_types,fulltime_employees,fulltime_contractors,parttime_employees,avg_yearly_salary_lower,avg_yearly_salary_upper,pseudo_avg_yearly_salary,avg_hourly_wage_lower,avg_hourly_wage_upper,pseudo_avg_hourly_wage
1,Alabama,261,7,240,10,4,60555.5555555556,88823.5294117647,74689.5424836601,25.5,30.5,28
2,Alaska,4,1,3,0,0,0,0,0,0,0,0
4,Arizona,34,0,24,10,0,49375,59000,54187.5,16.6666666666667,20.8333333333333,18.75
5,Arkansas,104,3,89,6,6,57170.1666666667,80504,68837.0833333333,26,29.75,27.875
6,California,1074,52,787,200,35,66554.9504950495,88895.28,77725.1152475248,20.2777777777778,27.6666666666667,23.9722222222222
8,Colorado,327,8,274,30,15,52266.3421052632,73348.6315789474,62807.4868421053,19.7916666666667,24.7894736842105,22.2905701754386
9,Connecticut,33,0,21,11,1,79000,96000,87500,23.25,30,26.625
10,Delaware,39,0,22,14,3,75000,90000,82500,17.6666666666667,18,17.8333333333333
12,Florida,442,18,350,63,11,46488.7023809524,60338.7738095238,53413.7380952381,17.4318181818182,21.906976744186,19.6693974630021
13,Georgia,571,17,497,42,15,58225.3333333333,71091.5535714286,64658.443452381,14.9322033898305,31.0819672131148,23.0070853014726
15,Hawaii,21,1,20,0,0,0,0,0,0,0,0
16,Idaho,49,1,45,3,0,75000,175000,125000,9,27,18
17,Illinois,556,11,422,103,20,66802.4651162791,94571.5824175824,80687.0237669307,26.125,33.1304347826087,29.6277173913043
18,Indiana,178,5,144,20,9,50232.0571428571,70287.0882352941,60259.5726890756,12.7272727272727,16.2727272727273,14.5
19,Iowa,69,3,57,5,4,55546.5454545455,72820,64183.2727272727,20,15,17.5
20,Kansas,92,6,70,9,7,51823.0769230769,68300,60061.5384615385,17.3333333333333,24.4,20.8666666666667
21,Kentucky,109,4,79,18,8,61600,82466.6666666667,72033.3333333333,21.6363636363636,21.8,21.7181818181818
22,Louisiana,202,2,188,4,8,55846.1538461538,75461.5384615385,65653.8461538462,14,16,15
23,Maine,21,1,17,1,2,65000,75000,70000,22,22,22
24,Maryland,95,1,84,10,0,57333.3333333333,82733.3333333333,70033.3333333333,19.1666666666667,22.6666666666667,20.9166666666667
25,Massachusetts,455,10,371,63,11,78413.5362318841,105581.360294118,91997.4482630009,23.4444444444444,32.5135135135135,27.978978978979
26,Michigan,129,0,100,23,6,66419.96,80691.3333333333,73555.6466666667,23.625,32.125,27.875
27,Minnesota,213,6,160,36,11,54357,63188,58772.5,32.3125,37.5882352941176,34.9503676470588
28,Mississippi,83,6,73,2,2,50555.5555555556,88000,69277.7777777778,0,35,17.5
29,Missouri,177,2,152,18,5,49969.625,76515.3714285714,63242.4982142857,14.75,17.3846153846154,16.0673076923077
30,Montana,10,0,10,0,0,50000,60000,55000,0,0,0
31,Nebraska,57,2,53,2,0,0,0,0,12,20.5,16.25
32,Nevada,192,23,136,10,23,56287.5454545455,77948.7647058823,67118.1550802139,18.4444444444444,20.2222222222222,19.3333333333333
33,New Hampshire,19,0,15,4,0,61666.6666666667,71666.6666666667,66666.6666666667,12.75,15.25,14
34,New Jersey,300,7,223,66,4,60598.0806451613,87904.935483871,74251.5080645161,25.0555555555556,28.7368421052632,26.8961988304094
35,New Mexico,17,0,15,1,1,72500,88500,80500,45,46,45.5
36,New York,267,14,204,42,7,55470.1454545455,74689.1636363636,65079.6545454545,23.8421052631579,29.6842105263158,26.7631578947368
37,North Carolina,249,8,201,37,3,50736.5294117647,117938.571428571,84337.5504201681,27.0714285714286,30.8181818181818,28.9448051948052
38,North Dakota,30,0,28,0,2,35000,150000,92500,0,0,0
39,Ohio,1207,45,871,145,146,52457.2842105263,69018.2433862434,60737.7637983849,18.469387755102,23.5760869565217,21.0227373558119
40,Oklahoma,80,2,73,2,3,51000,57666.6666666667,54333.3333333333,21.5,24.6666666666667,23.0833333333333
41,Oregon,30,0,24,5,1,0,0,0,22.6666666666667,15.5,19.0833333333333
42,Pennsylvania,645,10,586,30,19,45934.4888888889,62689.8222222222,54312.1555555556,22.2608695652174,27.5555555555556,24.9082125603865
44,Rhode Island,18,1,14,2,1,76000,87000,81500,12.5,15.5,14
45,South Carolina,120,5,106,2,7,68037.6666666667,93955.3571428571,80996.5119047619,21.6923076923077,31.9090909090909,26.8006993006993
46,South Dakota,24,1,21,2,0,0,0,0,8,9,8.5
47,Tennessee,358,9,302,12,35,50029.2571428571,71116.1428571429,60572.7,15.5862068965517,19.1379310344828,17.3620689655172
48,Texas,1868,50,1514,222,82,60916.8135048231,83828.8080808081,72372.8107928156,21.7692307692308,29.7796610169491,25.77444589309
49,Utah,94,2,82,4,6,65000,86000,75500,50,39.5,44.75
50,Vermont,8,0,8,0,0,0,0,0,0,0,0
51,Virginia,164,4,137,17,6,58161.2903225807,76080.6451612903,67120.9677419355,16.3333333333333,18.6666666666667,17.5
53,Washington,227,9,186,18,14,60654.5555555556,92109,76381.7777777778,21.5333333333333,25.3571428571429,23.4452380952381
54,West Virginia,40,1,38,0,1,48250,70750,59500,0,0,0
55,Wisconsin,397,29,314,31,23,53871.9393939394,80536.4285714286,67204.183982684,16.0434782608696,21.8695652173913,18.9565217391304
56,Wyoming,8,0,7,1,0,0,125000,62500,45,55,50
